,fname,text
0,p.org contracts v3 reference periphery interfaces IPeripheryPayments,"p.org contracts v3 reference periphery interfaces IPeripheryPayments.    IPeripheryPayments | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 ProtocolOverviewGuidesSet Up Your Local EnvironmentImplement A SwapProviding LiquidityLiquidity MiningImplement Flash SwapsGovernance ProposalsTechnical ReferenceOverviewCoreGovernancePeripheryBaseInterfacesIERC20MetadataIERC721PermitIMulticallINonfungiblePositionManagerINonfungibleTokenPositionDescriptorIPeripheryImmutableStateIPeripheryPaymentsIPeripheryPaymentsWithFeeIPoolInitializerIQuoterIQuoterV2ISelfPermitISwapRouterITickLensIV3MigratorexternalLensLibrariesStakerTestNonfungiblePositionManagerNonfungibleTokenPositionDescriptorSwapRouterV3MigratorDeployment AddressesError CodesUniversal RouterPermit2V2 ProtocolV1 Protocol🏠V3 ProtocolTechnical ReferencePeripheryInterfacesIPeripheryPaymentsHelpful?On this pageIPeripheryPaymentsFunctions to ease deposits and withdrawals of ETHFunctions​unwrapWETH9​ function unwrapWETH9( uint256 amountMinimum, address recipient ) externalCopyUnwraps the contract's WETH9 balance and sends it to recipient as ETH.The amountMinimum parameter prevents malicious contracts from stealing WETH9 from users.Parameters:​NameTypeDescriptionamountMinimumuint256The minimum amount of WETH9 to unwraprecipientaddressThe address receiving ETHrefundETH​ function refundETH( ) externalCopyRefunds any ETH balance held by this contract to the msg.senderUseful for bundling with mint or increase liquidity that uses ether, or exact output swaps that use ether for the input amountsweepToken​ function sweepToken( address token, uint256 amountMinimum, address recipient ) externalCopyTransfers the full amount of a token held by this contract to recipientThe amountMinimum parameter prevents malicious contracts from stealing the token from usersParameters:​NameTypeDescriptiontokenaddressThe contract address of the token which will be transferred to recipientamountMinimumuint256The minimum amount of token required for a transferrecipientaddressThe destination address of the tokenEdit this pageHelpful?PreviousIPeripheryImmutableStateNextIPeripheryPaymentsWithFeeFunctionsunwrapWETH9refundETHsweepTokenDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
1,p.org sdk v1 overview,"p.org sdk v1 overview.    Overview | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 SDKOverviewGuidesBackgroundGetting a QuoteExecuting a TradeRouting a SwapPooling LiquidityTechnical ReferenceSwap Widgetweb3-reactCore SDKV2 SDKV1 SDKOverviewGuidesGetting StartedTechnical ReferenceDataComputationFormatOrchestrationTransactConstantsTypes🏠V1 SDKOverviewHelpful?The Uniswap V1 SDKThis is the original documentation for the Uniswap V1 SDK, released in 2019. The Uniswap V1 SDK is no longer under development, for the most recent implementation of the SDK, see the V3 SDK.Helpful?PreviousOther ExportsNextGetting StartedDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
2,p.org contracts permit2 reference allowance transfer,"p.org contracts permit2 reference allowance transfer.    AllowanceTransfer | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 ProtocolOverviewGuidesSet Up Your Local EnvironmentImplement A SwapProviding LiquidityLiquidity MiningImplement Flash SwapsGovernance ProposalsTechnical ReferenceUniversal RouterPermit2OverviewTechnical ReferenceSignatureTransferAllowanceTransferV2 ProtocolV1 Protocol🏠Permit2Technical ReferenceAllowanceTransferHelpful?On this pageAllowanceTransferSource CodeOverview​The main entry points on this contract are:approveUse approve when you do not want to set token permissions through signature validation.permitUse permit when you do want to set token permissions through signature validation.transferFromUse transferFrom when you want to transfer a token and have the necessary permissions to do so.Functions​approve​Function Signaturefunction approve(address token, address spender, uint160 amount, uint48 expiration) externalCopyParameterstoken - the token address to approvespender - the spender address to approveamount - the approved amount of the token, type(uint160).max is treated as an unlimited allowanceexpiration - the timestamp at which the approval is no longer valid, passing in 0 will expire the permissions at block.timestampSingle permit​Function Signaturefunction permit(address owner, PermitSingle memory permitSingle, bytes calldata signature) external;CopyParametersowner - the address of the token’s ownerpermitSingle - constructed with the following:struct PermitSingle {  // the permit data for a single token allowance  PermitDetails details;  // address permissioned on the allowed tokens  address spender;  // deadline on the permit signature  uint256 sigDeadline; }struct PermitDetails {  // ERC20 token address  address token;  // the maximum amount allowed to spend  uint160 amount;  // timestamp at which a spender's token allowances become invalid  uint48 expiration;  // an incrementing value indexed per owner,token,and spender for each signature  uint48 nonce; }Copysignature - the signature over the permit data. Supports EOA signatures, compact signatures defined by EIP-2098, and contract signatures defined by EIP-1271Batched permit​Function Signaturefunction permit(address owner, PermitBatch memory permitBatch, bytes calldata signature) external;CopyParametersowner - the address of the token’s ownerpermitBatch - constructed with the following:struct PermitBatch {  // the permit data for multiple token allowances  PermitDetails[] details;  // address permissioned on the allowed tokens  address spender;  // deadline on the permit signature  uint256 sigDeadline; }struct PermitDetails {  // ERC20 token address  address token;  // the maximum amount allowed to spend  uint160 amount;  // timestamp at which a spender's token allowances become invalid  uint48 expiration;  // an incrementing value indexed per owner,token,and spender for each signature  uint48 nonce; }Copysignature - the signature over the permit data. Supports EOA signatures, compact signatures defined by EIP-2098, and contract signatures defined by EIP-1271Single transferFrom​Function Signaturefunction transferFrom(address from, address to, uint160 amount, address token) external;CopyParametersfrom - the address to transfer the token fromto - the address of the recipientamount - the amount of the token to transfer, the maximum amount is type(uint160).maxtoken - the address of the token to be transferredBatched transferFrom​Function Signaturefunction transferFrom(AllowanceTransferDetails[] calldata transferDetails) external;CopyParameterstransferDetails - constructed with the followingstruct AllowanceTransferDetails {  // the owner of the token  address from;  // the recipient of the token  address to;  // the amount of the token  uint160 amount;  // the token to be transferred  address token; }CopyNonce Schema​The nonces used to protect against replay attacks of signatures are similar to standard incrementing nonces. However, we pack nonces with an allowed amount, and an allowed duration. This means that nonces are incremented per owner, per token, and per spender. Which further implies that you could sign two different permits at the same time with the same nonces and they won’t cancel each other out so long as the token or spender differ.The mapping nonces are packed in is defined as follows:mapping(address => mapping(address => mapping(address => PackedAllowance))) public allowance;Copyand indexed as follows:PackedAllowance allowanceInformation = allowance[ownerAddress][tokenAddress][spenderAddress];uint48 nonce = allowanceInformation.nonce;CopySecurity Considerations​Similar to the security considerations outlined in SignatureTransfer, integrating contracts need to perform valid safety checks on the caller and pass in correct addresses for the from argument in any transfer calls.All amounts on the AllowanceTransfer contract are of type uint160 so make sure integrating contracts safely downcast if they have to. See how Permit2Lib downcasts safely.Edit this pageHelpful?PreviousSignatureTransferNextOverviewOverviewFunctionsapproveSingle permitBatched permitSingle transferFromBatched transferFromNonce SchemaSecurity ConsiderationsDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
3,p.org sdk v3 reference classes SqrtPriceMath,"p.org sdk v3 reference classes SqrtPriceMath.    SqrtPriceMath | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 SDKOverviewGuidesBackgroundGetting a QuoteExecuting a TradeRouting a SwapPooling LiquidityTechnical ReferenceOverviewclassesFullMathLiquidityMathMulticallNoTickDataProviderNonfungiblePositionManagerPaymentsPoolPositionPositionLibraryRouteSelfPermitSqrtPriceMathStakerSwapMathSwapQuoterSwapRouterTickTickLibraryTickListTickListDataProviderTickMathTradeenumsinterfacesSwap Widgetweb3-reactCore SDKV2 SDKV1 SDK🏠V3 SDKTechnical ReferenceclassesSqrtPriceMathHelpful?On this pageSqrtPriceMath@uniswap/v3-sdk / Exports / SqrtPriceMathClass: SqrtPriceMathTable of contents​Constructors​constructorMethods​getAmount0DeltagetAmount1DeltagetNextSqrtPriceFromAmount0RoundingUpgetNextSqrtPriceFromAmount1RoundingDowngetNextSqrtPriceFromInputgetNextSqrtPriceFromOutputConstructors​constructor​• Private new SqrtPriceMath()Cannot be constructed.Defined in​utils/sqrtPriceMath.ts:23Methods​getAmount0Delta​▸ Static getAmount0Delta(sqrtRatioAX96, sqrtRatioBX96, liquidity, roundUp): defaultParameters​NameTypesqrtRatioAX96defaultsqrtRatioBX96defaultliquiditydefaultroundUpbooleanReturns​defaultDefined in​utils/sqrtPriceMath.ts:25getAmount1Delta​▸ Static getAmount1Delta(sqrtRatioAX96, sqrtRatioBX96, liquidity, roundUp): defaultParameters​NameTypesqrtRatioAX96defaultsqrtRatioBX96defaultliquiditydefaultroundUpbooleanReturns​defaultDefined in​utils/sqrtPriceMath.ts:38getNextSqrtPriceFromAmount0RoundingUp​▸ Static Private getNextSqrtPriceFromAmount0RoundingUp(sqrtPX96, liquidity, amount, add): defaultParameters​NameTypesqrtPX96defaultliquiditydefaultamountdefaultaddbooleanReturns​defaultDefined in​utils/sqrtPriceMath.ts:71getNextSqrtPriceFromAmount1RoundingDown​▸ Static Private getNextSqrtPriceFromAmount1RoundingDown(sqrtPX96, liquidity, amount, add): defaultParameters​NameTypesqrtPX96defaultliquiditydefaultamountdefaultaddbooleanReturns​defaultDefined in​utils/sqrtPriceMath.ts:100getNextSqrtPriceFromInput​▸ Static getNextSqrtPriceFromInput(sqrtPX96, liquidity, amountIn, zeroForOne): defaultParameters​NameTypesqrtPX96defaultliquiditydefaultamountIndefaultzeroForOnebooleanReturns​defaultDefined in​utils/sqrtPriceMath.ts:48getNextSqrtPriceFromOutput​▸ Static getNextSqrtPriceFromOutput(sqrtPX96, liquidity, amountOut, zeroForOne): defaultParameters​NameTypesqrtPX96defaultliquiditydefaultamountOutdefaultzeroForOnebooleanReturns​defaultDefined in​utils/sqrtPriceMath.ts:57Helpful?PreviousSelfPermitNextStakerTable of contentsConstructorsMethodsConstructorsconstructorMethodsgetAmount0DeltagetAmount1DeltagetNextSqrtPriceFromAmount0RoundingUpgetNextSqrtPriceFromAmount1RoundingDowngetNextSqrtPriceFromInputgetNextSqrtPriceFromOutputDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
4,p.org contracts v2 overview,"p.org contracts v2 overview.    Overview | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 ProtocolOverviewGuidesSet Up Your Local EnvironmentImplement A SwapProviding LiquidityLiquidity MiningImplement Flash SwapsGovernance ProposalsTechnical ReferenceUniversal RouterPermit2V2 ProtocolOverviewConceptsProtocol OverviewCore ConceptsAdvanced TopicsGuidesInterface IntegrationSmart Contract IntegrationTechnical ReferenceAPIGovernanceSmart ContractsV1 Protocol🏠V2 ProtocolOverviewHelpful?The Uniswap V2 Smart ContractsWelcome to the Uniswap protocol V2 docs.The pages here contain conceptual and technical documentation of the Uniswap V2 protocol.If you are new to Uniswap, you might want to check out the Protocol overview first.You can also take a look at the V2 Protocol Whitepaper.Developer linksThe V2 Uniswap protocol is separated across two repositoriesuniswap-v2-coreuniswap-v2-peripheryThe V2 SDK, which can assist developers when interacting with the Uniswap V2 Protocol can be found here.uniswap-sdkuniswap-sdk-coreEdit this pageHelpful?PreviousAllowanceTransferNextHow Uniswap worksDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
5,p.org sdk core reference classes Ether#chainid,"p.org sdk core reference classes Ether#chainid.    Ether | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 SDKOverviewGuidesBackgroundGetting a QuoteExecuting a TradeRouting a SwapPooling LiquidityTechnical ReferenceSwap Widgetweb3-reactCore SDKOverviewTechnical ReferenceOverviewclassesCurrencyAmountEtherFractionNativeCurrencyPercentPriceTokenenumsV2 SDKV1 SDK🏠Core SDKTechnical ReferenceclassesEtherHelpful?On this pageEther@uniswap/sdk-core / Exports / EtherClass: EtherEther is the main usage of a 'native' currency, i.e. for Ethereum mainnet and all testnetsHierarchy​NativeCurrency↳ EtherTable of contents​Constructors​constructorProperties​chainIddecimalsisNativeisTokennamesymbol_etherCacheAccessors​wrappedMethods​equalsonChainConstructors​constructor​• Protected new Ether(chainId)Parameters​NameTypechainIdnumberOverrides​NativeCurrency.constructorDefined in​entities/ether.ts:11Properties​chainId​• Readonly chainId: numberThe chain ID on which this currency residesInherited from​NativeCurrency.chainIdDefined in​entities/baseCurrency.ts:21decimals​• Readonly decimals: numberThe decimals used in representing currency amountsInherited from​NativeCurrency.decimalsDefined in​entities/baseCurrency.ts:25isNative​• Readonly isNative: trueInherited from​NativeCurrency.isNativeDefined in​entities/nativeCurrency.ts:7isToken​• Readonly isToken: falseInherited from​NativeCurrency.isTokenDefined in​entities/nativeCurrency.ts:8name​• Optional Readonly name: stringThe name of the currency, i.e. a descriptive textual non-unique identifierInherited from​NativeCurrency.nameDefined in​entities/baseCurrency.ts:33symbol​• Optional Readonly symbol: stringThe symbol of the currency, i.e. a short textual non-unique identifierInherited from​NativeCurrency.symbolDefined in​entities/baseCurrency.ts:29_etherCache​▪ Static Private _etherCache: Object = {}Index signature​▪ [chainId: number]: EtherDefined in​entities/ether.ts:21Accessors​wrapped​• get wrapped(): TokenReturn the wrapped version of this currency that can be used with the Uniswap contracts. Currencies must implement this to be used in UniswapReturns​TokenOverrides​NativeCurrency.wrappedDefined in​entities/ether.ts:15Methods​equals​▸ equals(other): booleanReturns whether this currency is functionally equivalent to the other currencyParameters​NameTypeDescriptionotherCurrencythe other currencyReturns​booleanOverrides​NativeCurrency.equalsDefined in​entities/ether.ts:27onChain​▸ Static onChain(chainId): EtherParameters​NameTypechainIdnumberReturns​EtherDefined in​entities/ether.ts:23Helpful?PreviousCurrencyAmountNextFractionHierarchyTable of contentsConstructorsPropertiesAccessorsMethodsConstructorsconstructorPropertieschainIddecimalsisNativeisTokennamesymbol_etherCacheAccessorswrappedMethodsequalsonChainDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
6,p.org contracts v2 guides interface integration custom interface linking,"p.org contracts v2 guides interface integration custom interface linking.    Custom Linking | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 ProtocolOverviewGuidesSet Up Your Local EnvironmentImplement A SwapProviding LiquidityLiquidity MiningImplement Flash SwapsGovernance ProposalsTechnical ReferenceUniversal RouterPermit2V2 ProtocolOverviewConceptsProtocol OverviewCore ConceptsAdvanced TopicsGuidesInterface IntegrationUsing the APICustom LinkingIframe IntegrationSmart Contract IntegrationTechnical ReferenceAPIGovernanceSmart ContractsV1 Protocol🏠V2 ProtocolGuidesInterface IntegrationCustom LinkingHelpful?On this pageQuery ParametersThe Uniswap front-end supports URL query parameters to allow for custom linking to the Uniswap frontend. Users and developers can use these query parameters to link to the Uniswap frontend with custom prefilled settings.Each Page has specific available URL parameters that can be set. Global parameters can be used on all pages.A parameter used on an incorrect page will have no effect on frontend settings. Parameters not set with a URL parameter will be set to standard frontend defaults.Global​ParameterTypeDescriptionthemeStringSets them to dark or light mode.Theme Options​Theme can be set as light or dark.Example Usage​https://app.uniswap.org/#/swap?theme=darkSwap Page​ParameterTypeDescriptioninputCurrencyaddressInput currency that will be swapped for output currency.outputCurrencyaddress or ETHOutput currency that input currency will be swapped for.exactAmountnumberThe custom token amount to buy or sell.exactFieldstringThe field to set custom token amount for. Must be input or output.Defaults​ETH defaults as the input currency. When a different token is selected for either input or output ETH will default as the opposite selected currency.Constraints​Addresses must be valid ERC20 addresses. Slippage and amount values must be valid numbers accepted by the frontend (or error will prevent from swapping). Slippage can 0, or within the range 10->9999 bips (which converts to 0%, 0.01%->99%)When selecting ETH as the output currency a user must also choose an inputCurrency that is not ETH (to prevent ETH being populated in both fields)Setting Amounts​Two parameters, exactField and exactAmount can be used to set specific token amounts to be sold or bought. Both fields must be set in the URL or there will be no effect on the settings.Example Usage​https://app.uniswap.org/#/swap?exactField=input&exactAmount=10&inputCurrency=0x0F5D2fB29fb7d3CFeE444a200298f468908cC942Pool Page​The Pool page is made up of 2 subroutes: add, remove.Add Liquidity​ParameterTypeDescriptionToken0addressPool to withdraw liquidity from. (Must be an ERC20 address with an existing token)Token1addressPool to withdraw liquidity from. (Must be an ERC20 address with an existing token)Example Usage​https://app.uniswap.org/#/add/v2/0x6B175474E89094C44Da98b954EedeAC495271d0F/0xdAC17F958D2ee523a2206206994597C13D831ec7Remove Liquidity​ParameterTypeDescriptionToken0addressPool to withdraw liquidity from. (Must be an ERC20 address with an existing token)Token1addressPool to withdraw liquidity from. (Must be an ERC20 address with an existing token)Example Usage​https://app.uniswap.org/#/remove/0x6B175474E89094C44Da98b954EedeAC495271d0F-0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2Edit this pageHelpful?PreviousUsing the APINextIframe IntegrationGlobalTheme OptionsExample UsageSwap PageDefaultsConstraintsSetting AmountsExample UsagePool PageAdd LiquidityExample UsageRemove LiquidityExample UsageDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
7,p.org contracts v3 reference core interfaces pool IUniswapV3PoolState#observations,"p.org contracts v3 reference core interfaces pool IUniswapV3PoolState#observations.    IUniswapV3PoolState | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchV3 ProtocolOverviewGuidesSet Up Your Local EnvironmentImplement A SwapProviding LiquidityLiquidity MiningImplement Flash SwapsGovernance ProposalsTechnical ReferenceOverviewCoreUniswapV3FactoryUniswapV3PoolUniswapV3PoolDeployerInterfacesIERC20MinimalIUniswapV3FactoryIUniswapV3PoolIUniswapV3PoolDeployercallbackPoolIUniswapV3PoolActionsIUniswapV3PoolDerivedStateIUniswapV3PoolEventsIUniswapV3PoolImmutablesIUniswapV3PoolOwnerActionsIUniswapV3PoolStateLibrariesGovernancePeripheryDeployment AddressesError CodesUniversal RouterPermit2V2 ProtocolV1 Protocol🏠V3 ProtocolTechnical ReferenceCoreInterfacesPoolIUniswapV3PoolStateHelpful?On this pageIUniswapV3PoolStateThese methods compose the pool's state, and can change with any frequency including multiple times per transactionFunctions​slot0​ function slot0( ) external view returns (uint160 sqrtPriceX96, int24 tick, uint16 observationIndex, uint16 observationCardinality, uint16 observationCardinalityNext, uint8 feeProtocol, bool unlocked)CopyThe 0th storage slot in the pool stores many values, and is exposed as a single method to save gas when accessed externally.Return Values:​NameTypeDescriptionsqrtPriceX96uint160The current price of the pool as a sqrt(token1/token0) Q64.96 valuetickint24The current tick of the pool, i.e. according to the last tick transition that was run. This value may not always be equal to SqrtTickMath getTickAtSqrtRatio(sqrtPriceX96) if the price is on a tick boundary.observationIndexuint16The index of the last oracle observation that was written,observationCardinalityuint16The current maximum number of observations stored in the pool,observationCardinalityNextuint16The next maximum number of observations, to be updated when the observation.feeProtocoluint8The protocol fee for both tokens of the pool. Encoded as two 4 bit values, where the protocol fee of token1 is shifted 4 bits and the protocol fee of token0is the lower 4 bits.Used as the denominator of a fraction of the swap fee, e.g. 4 means 1/4th of the swap fee.unlockedboolWhether the pool is currently locked to reentrancyfeeGrowthGlobal0X128​ function feeGrowthGlobal0X128( ) external view returns (uint256)CopyThe fee growth as a Q128.128 fees of token0 collected per unit of liquidity for the entire life of the poolThis value can overflow the uint256feeGrowthGlobal1X128​ function feeGrowthGlobal1X128( ) external view returns (uint256)CopyThe fee growth as a Q128.128 fees of token1 collected per unit of liquidity for the entire life of the poolThis value can overflow the uint256protocolFees​ function protocolFees( ) external view returns (uint128 token0, uint128 token1)CopyThe amounts of token0 and token1 that are owed to the protocolProtocol fees will never exceed uint128 max in either tokenliquidity​ function liquidity( ) external view returns (uint128)CopyThe currently in range liquidity available to the poolThis value has no relationship to the total liquidity across all ticksticks​ function ticks( int24 tick ) external view returns (uint128 liquidityGross, int128 liquidityNet, uint256 feeGrowthOutside0X128, uint256 feeGrowthOutside1X128, int56 tickCumulativeOutside, uint160 secondsPerLiquidityOutsideX128, uint32 secondsOutside, bool initialized)CopyLook up information about a specific tick in the poolParameters:​NameTypeDescriptiontickint24The tick to look upReturn Values:​NameTypeDescriptionliquidityGrossuint128the total amount of position liquidity that uses the pool either as tick lower or tick upper,liquidityNetint128how much liquidity changes when the pool price crosses the tick,feeGrowthOutside0X128uint256the fee growth on the other side of the tick from the current tick in token0,feeGrowthOutside1X128uint256the fee growth on the other side of the tick from the current tick in token1, feeGrowthOutsideX128 values can only be used if the tick is initialized, i.e. if liquidityGross is greater than 0. In addition, these values are only relative and are used to compute snapshots.tickCumulativeOutsideint56secondsPerLiquidityOutsideX128uint160secondsOutsideuint32initializedboola specific position.tickBitmap​ function tickBitmap(  int16 wordPosition ) external view returns (uint256)CopyReturns 256 packed tick initialized boolean values. See TickBitmap for more informationpositions​ function positions( bytes32 key ) external view returns (uint128 _liquidity, uint256 feeGrowthInside0LastX128, uint256 feeGrowthInside1LastX128, uint128 tokensOwed0, uint128 tokensOwed1)CopyReturns the information about a position by the position's keyParameters:​NameTypeDescriptionkeybytes32The position's key is a hash of a preimage composed by the owner, tickLower and tickUpperReturn Values:​NameTypeDescription_liquiditybytes32The amount of liquidity in the position,feeGrowthInside0LastX128uint256fee growth of token0 inside the tick range as of the last mint/burn/poke,feeGrowthInside1LastX128uint256fee growth of token1 inside the tick range as of the last mint/burn/poke,tokensOwed0uint128the computed amount of token0 owed to the position as of the last mint/burn/poke,tokensOwed1uint128the computed amount of token1 owed to the position as of the last mint/burn/pokeobservations​ function observations( uint256 index ) external view returns (uint32 blockTimestamp, int56 tickCumulative, uint160 secondsPerLiquidityCumulativeX128, bool initialized)CopyReturns data about a specific observation indexYou most likely want to use #observe() instead of this method to get an observation as of some amount of time ago, rather than at a specific index in the array.Parameters:​NameTypeDescriptionindexuint256The element of the observations array to fetchReturn Values:​NameTypeDescriptionblockTimestampuint256The timestamp of the observation,tickCumulativeint56the tick multiplied by seconds elapsed for the life of the pool as of the observation timestamp,secondsPerLiquidityCumulativeX128uint160the seconds per in range liquidity for the life of the pool as of the observation timestampinitializedboolwhether the observation has been initialized and the values are safe to useEdit this pageHelpful?PreviousIUniswapV3PoolOwnerActionsNextBitMathFunctionsslot0feeGrowthGlobal0X128feeGrowthGlobal1X128protocolFeesliquiditytickstickBitmappositionsobservationsDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
8,p.org concepts governance adversarial circumstances,"p.org concepts governance adversarial circumstances.    Adversarial Circumstances | Uniswap  Skip to main contentUniswap DocsConceptsContractsSDKsAPIsGive FeedbackWhitepaperGitHubGrantsSearchWhat Is Uniswap?The Uniswap ProtocolProtocol ConceptsGovernanceOverviewProcessBeginners Guide to VotingGlossaryAdversarial CircumstancesChangelogResearchResourcesGlossary🏠GovernanceAdversarial CircumstancesHelpful?On this pageAdversarial CircumstancesThis document explores some adversarial circumstances which Uniswap Governance may encounter in the future. Its goal is to help those interested in Uniswap Governance understand the reasoning behind some of its design, its limitations, and potential avenues for growth.Scenario 1​A good faith proposal is brought to vote but is found to have an exploitable edge case. A bad faith actor uses a series of DeFi leveraging strategies to quickly buy enough UNI during the voting period to sway the vote in favor of the proposal, passing it and exploiting the vulnerability.Circumvention​UNI voting power must be delegated to an address either entirely before a proposal has been submitted or during the proposal delay period. For now, the proposal delay is set to one block, which is about 15 seconds. A proposal delay of one block leaves no opportunity for a third party to find an exploitable edge case and opportunistically purchase uni, self delegate and sway the vote.In the future, Uniswap Governance may vote to increase the proposal delay. While there are obvious benefits to an increased proposal delay, It may introduce some potential adverse outcomes such as opportunistic edge case exploitation.Scenario 2​A bad faith proposal is crafted and submitted to vote, which is unambiguously not in the best interest of Uniswap Governance. Multiple parties collude ahead of time to corner the UNI market to force the proposal through, gain access to the UNI reserves, and drain the funds.Circumvention​Since UNI is a freely tradable asset, anyone can attempt a governance takeover via market buying. That said, to force-pass a bad faith vote would require a minimum of 40 million UNI. If not outright impossible, this amount would be prohibitively expensive and likely cost more when accounting for price fluctuation than the net gain from the attack.If a group somehow achieved a bad faith takeover, Timelock's delay would give affected agents time to withdraw their assets from the protocol. This would also be an opportunity to fork the protocol, a path that would likely be taken by the remaining good-faith actors.Scenario 3​A single party uses a flash loan to push through a proposal, potentially creating a pseudo-DDOS attack by spamming governance with proposals and preventing effective use.Circumvention​A delegated balance of 2.5 million UNI is required to submit a vote, but the balance check is set exactly one block in the past. This prevents any flash loan proposals from being created, as flash loans cannot execute outside of a single block.The proposer must also maintain a minimum balance of 2.5 million UNI throughout the voting period, or anyone may cancel the proposal. This balance maintenance check prevents many highly leveraged proposal techniques that may span several blocks.Scenario 4​A bad faith proposal is created, which will genuinely incentivize bad faith voting.Example: ""The treasury will be drained. Any votes in favor will be sent the balance of the treasury. Any votes opposed will be locked from the funds of the treasury.""Circumvention​No mechanism explicitly prevents this type of scenario, but market forces disincentivize it.Because the treasury is comprised of UNI tokens exclusively, the market would react appropriately if a vote were to pass that would jeopardize the economic viability of Uniswap Governance and the UNI token. By the time the vote would pass, UNI's price would have fallen so low as to make the attack fruitless.UNI acting as the only asset of the governance treasury disincentivizes this form of bad faith voting. Uniswap Governance may choose in the future to diversify governance assets. While there are many benefits to this path, some fringe possibilities such as incentivized bad faith voting may appear.Helpful?PreviousGlossaryNextChangelogScenario 1CircumventionScenario 2CircumventionScenario 3CircumventionScenario 4CircumventionDevelopersFeedbackBug Bounty#dev-chatWhitepaperGithubuniswap-v3-coreuniswap-v3-sdkuniswap-v3-peripheryDeployment addressesEcosystemHomeAppAnalyticsToken ListsBrand AssetsCommunityGovernanceDiscordTwitterBlog "
9,p.org sdk 1.0.0 reference computation,p.org sdk 1.0.0 reference computation. 
